Name,Version,Compiler,Remarks
boost,1.83.0,gcc\@13.2.0,
cmake,3.27.7,gcc\@13.2.0,
darshan-util,3.4.4,gcc\@13.2.0,
global,6.6.7,gcc\@13.2.0,
gmt,6.2.0,gcc\@13.2.0,
gnuplot,5.4.3,gcc\@13.2.0,
hdf5,1.14.3,gcc\@13.2.0,
imagemagick,7.1.1-11,gcc\@13.2.0,
libxml2,2.9.7,gcc\@13.2.0,
llvm,17.0.4,gcc\@13.2.0,
mercurial,6.4.5,gcc\@13.2.0,
mesa,23.0.3,gcc\@13.2.0,
ncview,2.1.9,gcc\@13.2.0,
netcdf-c,4.9.2,gcc\@13.2.0,
netcdf-fortran,4.6.1,gcc\@13.2.0,
openfoam,2306,gcc\@13.2.0,
openfoam,2312,gcc\@13.2.0,
openfoam-org,10,gcc\@13.2.0,
openfoam-org,11,gcc\@13.2.0,
openjdk,11.0.20.1_1,gcc\@13.2.0,
paraview,5.11.2,gcc\@13.2.0,
py-pip,23.1.2,gcc\@13.2.0,
python,3.11.6,gcc\@13.2.0,
screen,4.9.1,gcc\@13.2.0,
tmux,3.3a,gcc\@13.2.0,
xterm,353,gcc\@13.2.0,
zsh,5.8,gcc\@13.2.0,
gcc,13.2.0,gcc\@8.5.0,
hdf5,1.12.2,gcc\@8.5.0,
omni-compiler,1.3.3,gcc\@8.5.0,
openfoam,2012,gcc\@8.5.0,
openfoam,2106,gcc\@8.5.0,
openfoam,2112,gcc\@8.5.0,
openfoam,2206,gcc\@8.5.0,
openfoam,2212,gcc\@8.5.0,
openfoam-org,8,gcc\@8.5.0,
openfoam-org,9,gcc\@8.5.0,
openmpi,3.1.6,gcc\@8.5.0,
py-mpi4py,3.1.4,gcc\@8.5.0,
py-phonopy,2.12.0,gcc\@8.5.0,
py-phonopy,2.20.0,gcc\@8.5.0,
