名称,バージョン,ライセンス,Make Check 結果等,コンパイラ,備考 (環境設定等),更新日
cmake,3.21.4,,N/A,gcc\@11.2.0,,2021/12/16
gcc,11.2.0,,N/A,gcc\@8.4.1,,2021/12/16
git-lfs,2.11.0,,N/A,gcc\@11.2.0,,2022/9/27
gmt,6.2.0,,N/A,gcc\@11.2.0,,2022/8/15
hdf5,1.10.7,,N/A,gcc\@11.2.0,,2021/12/16
imagemagick,7.0.8-7,,N/A,gcc\@8.4.1,,2022/1/31
llvm,12.0.1,,N/A,gcc\@8.4.1,,2021/12/17
mercurial,5.8,,N/A,gcc\@11.2.0,,2021/12/16
mesa,21.2.3,,N/A,gcc\@8.4.1,,2021/12/17
ncview,2.1.8,,N/A,gcc\@11.2.0,,2021/12/16
netcdf-c,4.8.1,,N/A,gcc\@11.2.0,,2021/12/16
netcdf-fortran,4.5.3,,N/A,gcc\@11.2.0,,2021/12/17
omni-compiler,1.3.3,,N/A,gcc\@8.4.1,,2021/12/16
openjdk,11.0.12_7,,N/A,gcc\@11.2.0,,2021/12/16
paraview,5.9.1,,N/A,gcc\@8.4.1,,2021/12/17
py-pip,21.1.2,,N/A,gcc\@11.2.0,,2021/12/16
python,3.8.12,,N/A,gcc\@11.2.0,,2021/12/16
screen,4.8.0,,N/A,gcc\@11.2.0,,2021/12/16
tmux,3.2a,,N/A,gcc\@11.2.0,,2021/12/16
xterm,353,,N/A,gcc\@11.2.0,,2021/12/16
